country_iso,latitude,longitude
AD,42.5133,1.5428
AE,24.9637,55.0911
AF,34.4398,68.4178
AG,17.1280,-61.8358
AI,18.2110,-63.0625
AL,41.2893,19.8365
AM,40.1940,44.5143
AO,-8.9864,13.4004
AQ,-82.3508,131.9478
AR,-34.1028,-60.3131
AS,-14.2733,-170.6962
AT,47.9915,15.5247
AU,-32.6653,144.0202
AW,12.5229,-70.0105
AX,60.0993,19.9368
AZ,40.3998,49.7106
BA,44.1221,17.9714
BB,13.1068,-59.5938
BD,23.7498,90.3921
BE,50.8887,4.4033
BF,12.2934,-1.6980
BG,42.7214,24.4339
BH,26.1982,50.5746
BI,-3.3765,29.5148
BJ,6.5619,2.4821
BL,17.8973,-62.8492
BM,32.3008,-64.7749
BN,4.8835,114.8847
BO,-17.3309,-66.3310
BQ,12.4807,-67.9682
BR,-18.9095,-46.5149
BS,25.0954,-77.3529
BT,27.4264,89.7216
BV,-54.4208,3.3464
BW,-24.2880,25.8825
BY,53.6481,27.9609
BZ,17.3695,-88.4415
CA,46.1884,-86.3453
CC,-12.1801,96.8278
CD,-4.6776,17.3896
CF,4.5883,18.5632
CG,-4.1296,14.8487
CH,47.0328,7.6968
CI,5.5543,-4.1790
CK,-20.9937,-159.7513
CL,-33.3991,-71.0589
CM,4.1660,10.9090
CN,33.5672,116.0796
CO,5.6100,-74.7160
CR,10.0101,-84.2863
CU,22.8592,-81.7874
CV,15.4561,-23.6193
CW,12.1283,-68.9147
CX,-10.4278,105.6741
CY,35.0473,33.2951
CZ,49.9394,14.9837
DE,50.8450,9.4920
DJ,11.6780,42.8897
DK,55.8560,11.2092
DM,15.3153,-61.3798
DO,18.7468,-70.1043
DZ,35.9107,3.3954
EC,-1.1253,-78.9650
EE,59.3556,24.9160
EG,30.0658,31.1721
EH,26.9155,-13.1695
ER,15.3213,38.9590
ES,39.8255,-3.0574
ET,9.0591,38.7843
FI,60.8920,24.8307
FJ,-18.0459,178.2955
FK,-51.6939,-57.8595
FM,7.0791,156.6305
FO,62.0314,-6.7903
FR,47.9005,2.5751
GA,0.3230,9.5955
GB,51.9558,-0.6845
GD,12.0580,-61.7442
GE,41.7307,44.5935
GF,4.9808,-52.4229
GG,49.4615,-2.5414
GH,5.8796,-0.4695
GI,36.1425,-5.3520
GL,65.4410,-50.4989
GM,13.4364,-16.6263
GN,9.5408,-13.5957
GP,16.1951,-61.5852
GQ,2.8599,9.3965
GR,38.4183,23.4980
GS,-54.2852,-36.5087
GT,14.7610,-90.6719
GU,13.4894,144.7912
GW,11.8531,-15.5187
GY,6.7564,-58.1563
HK,22.3232,114.1665
HM,-53.0879,73.5076
HN,14.8170,-87.5099
HR,45.4573,16.1176
HT,18.5806,-72.3138
HU,47.3444,19.1682
ID,-5.6181,108.7303
IE,53.2110,-6.8656
IL,32.1577,34.8972
IM,54.1667,-4.5253
IN,20.2806,76.9956
IO,-7.3015,72.4118
IQ,34.0939,44.5232
IR,35.0881,51.4872
IS,64.1867,-21.7742
IT,44.2102,10.6852
JE,49.1921,-2.1071
JM,18.0899,-76.9708
JO,31.9532,35.9033
JP,35.5305,138.7789
KE,-1.2255,36.9130
KG,42.6587,74.4607
KH,11.6951,104.7298
KI,1.2045,127.4065
KM,-11.7534,43.3591
KN,17.2716,-62.7035
KP,39.0514,125.7736
KR,37.1357,127.1786
KW,29.3226,47.9885
KY,19.3208,-81.3412
KZ,45.4269,74.2129
LA,17.9219,102.8416
LB,33.8942,35.5452
LC,14.0009,-60.9879
LI,47.1549,9.5181
LK,6.9525,79.9428
LR,6.3098,-10.7980
LS,-29.3021,27.6443
LT,54.8467,24.8476
LU,49.6552,6.1207
LV,56.9442,24.0837
LY,32.5508,14.2047
MA,33.4186,-6.8734
MC,43.7375,7.4228
MD,47.0278,28.8469
ME,42.4345,19.1748
MF,18.0691,-63.0818
MG,-18.8185,47.5402
MH,7.1983,171.1533
MK,41.9136,21.5068
ML,12.6469,-8.0296
MM,18.0806,96.3519
MN,47.8925,106.5780
MO,22.1772,113.5536
MP,15.1856,145.7463
MQ,14.5921,-61.0229
MR,18.1604,-15.7115
MS,16.7135,-62.2154
